date,temperature,precipitation,humidity,wind,season
2024-09-26,26.8,0.0,46,13.9,autumn
2024-09-27,27.8,0.0,38,17.3,autumn
2024-09-28,26.6,0.0,35,24.5,autumn
2024-09-29,26.0,0.0,35,20.8,autumn
2024-09-30,26.0,0.0,30,14.5,autumn
2024-10-01,28.1,0.0,24,25.4,autumn
2024-10-02,23.7,0.0,42,14.8,autumn
2024-10-03,24.7,0.0,26,22.1,autumn
2024-10-04,26.2,0.0,22,14.1,autumn
2024-10-05,25.3,0.0,31,16.4,autumn
2024-10-06,27.2,0.0,22,25.3,autumn
2024-10-07,23.9,0.0,36,18.2,autumn
2024-10-08,24.4,0.0,32,9.6,autumn
2024-10-09,23.9,0.0,35,13.2,autumn
2024-10-10,24.6,0.0,27,18.5,autumn
2024-10-11,23.9,0.0,35,10.7,autumn
2024-10-12,24.2,0.0,26,9.9,autumn
2024-10-13,24.4,0.0,23,12.1,autumn
2024-10-14,23.3,0.0,46,22.6,autumn
2024-10-15,21.1,0.0,58,20.9,autumn
2024-10-16,21.2,0.0,50,20.7,autumn
2024-10-17,20.5,0.0,51,28.1,autumn
2024-10-18,17.2,0.7,84,42.9,autumn
2024-10-19,14.2,0.0,81,24.1,autumn
2024-10-20,15.4,0.0,43,17.8,autumn
2024-10-21,18.5,0.0,36,11.3,autumn
2024-10-22,22.1,0.0,39,9.2,autumn
2024-10-23,23.7,0.0,31,18.1,autumn
2024-10-24,22.0,0.0,37,17.6,autumn
2024-10-25,22.3,0.0,29,18.7,autumn
2024-10-26,24.1,0.0,29,10.9,autumn
2024-10-27,22.7,0.0,40,20.0,autumn
2024-10-28,21.0,0.0,43,26.5,autumn
2024-10-29,15.9,0.0,50,36.1,autumn
2024-10-30,11.8,0.0,59,11.7,autumn
2024-10-31,14.0,0.0,36,17.2,autumn
2024-11-01,16.4,0.0,36,22.6,autumn
2024-11-02,14.2,0.0,69,24.5,autumn
2024-11-03,10.6,10.9,91,35.6,autumn
2024-11-04,8.1,0.0,90,16.0,autumn
2024-11-05,10.1,0.0,86,10.8,autumn
2024-11-06,10.9,0.0,59,27.0,autumn
2024-11-07,7.3,0.0,71,23.4,autumn
2024-11-08,6.2,0.0,59,9.3,autumn
2024-11-09,11.2,0.0,45,9.0,autumn
2024-11-10,13.4,0.0,45,9.9,autumn
2024-11-11,16.2,0.0,41,14.8,autumn
2024-11-12,13.2,0.0,46,22.5,autumn
2024-11-13,11.7,0.0,55,12.4,autumn
2024-11-14,14.8,0.0,36,10.3,autumn
2024-11-15,15.5,0.0,54,29.5,autumn
2024-11-16,9.6,0.0,91,27.4,autumn
2024-11-17,6.5,0.3,92,23.0,autumn
2024-11-18,7.0,0.0,89,14.3,autumn
2024-11-19,7.8,0.0,71,13.5,autumn
2024-11-20,11.3,0.0,45,11.2,autumn
2024-11-21,12.1,0.0,52,11.2,autumn
2024-11-22,15.1,0.0,41,12.1,autumn
2024-11-23,16.4,0.0,29,20.1,autumn
2024-11-24,14.4,0.0,35,23.2,autumn
2024-11-25,14.2,0.0,40,15.1,autumn
2024-11-26,15.3,0.0,53,15.7,autumn
2024-11-27,16.1,0.0,50,22.1,autumn
2024-11-28,14.7,0.0,57,19.2,autumn
2024-11-29,12.4,0.0,70,13.2,autumn
2024-11-30,14.8,0.0,59,12.8,autumn
2024-12-01,13.8,0.0,55,7.3,autumn
2024-12-02,14.2,0.0,43,14.9,autumn
2024-12-03,13.7,0.0,53,17.8,autumn
2024-12-04,12.1,0.0,41,7.1,autumn
2024-12-05,11.7,0.0,53,16.9,autumn
2024-12-06,10.2,0.0,81,17.6,autumn
2024-12-07,8.9,0.0,96,12.9,autumn
2024-12-08,10.1,0.0,74,20.0,autumn
2024-12-09,10.2,0.0,55,19.2,autumn
2024-12-10,6.1,0.0,51,23.9,autumn
2024-12-11,6.8,0.0,19,16.8,autumn
2024-12-12,9.5,0.0,27,25.2,autumn
2024-12-13,10.7,0.0,36,23.7,autumn
2024-12-14,11.0,0.0,37,9.8,autumn
2024-12-15,12.4,0.0,32,13.7,autumn
2024-12-16,12.2,0.0,33,10.1,autumn
2024-12-17,12.6,0.0,35,6.5,autumn
2024-12-18,11.6,0.0,34,24.5,autumn
2024-12-19,11.8,0.0,50,7.7,autumn
2024-12-20,12.5,0.0,46,9.9,autumn
2024-12-21,13.1,0.0,45,5.3,winter
2024-12-22,14.4,0.0,26,20.6,winter
2024-12-23,14.1,0.0,29,14.5,winter
2024-12-24,13.4,0.0,34,16.4,winter
2024-12-25,11.5,0.0,55,29.5,winter
2024-12-26,9.2,0.0,72,15.1,winter
2024-12-27,10.6,0.0,58,21.3,winter
2024-12-28,10.2,0.0,51,8.0,winter
2024-12-29,13.0,0.0,47,13.2,winter
2024-12-30,13.4,0.0,36,22.1,winter
2024-12-31,12.4,0.0,33,22.3,winter
2025-01-01,11.5,0.0,36,13.4,winter
2025-01-02,13.0,0.0,21,6.6,winter
2025-01-03,14.7,0.0,23,17.2,winter
2025-01-04,13.9,0.0,30,29.5,winter
2025-01-05,9.2,0.0,39,11.0,winter
2025-01-06,11.2,0.0,34,18.9,winter
2025-01-07,8.5,0.0,34,23.4,winter
2025-01-08,-0.8,1.2,63,41.3,winter
