date,temperature,precipitation,humidity,wind,season
2024-09-28,12.5,0.3,87,13.9,autumn
2024-09-29,13.5,0.0,86,12.7,autumn
2024-09-30,15.8,0.0,86,9.3,autumn
2024-10-01,17.2,0.0,88,13.2,autumn
2024-10-02,14.7,10.8,100,10.8,autumn
2024-10-03,14.2,14.3,100,13.6,autumn
2024-10-04,11.2,0.0,87,12.9,autumn
2024-10-05,12.8,0.0,87,10.6,autumn
2024-10-06,16.6,0.0,92,15.4,autumn
2024-10-07,17.2,6.9,98,10.4,autumn
2024-10-08,14.9,1.2,98,17.2,autumn
2024-10-09,15.7,0.7,91,20.7,autumn
2024-10-10,14.2,1.9,99,11.5,autumn
2024-10-11,13.4,0.0,95,12.2,autumn
2024-10-12,14.0,3.4,97,11.1,autumn
2024-10-13,15.4,0.0,100,11.1,autumn
2024-10-14,19.1,0.7,87,6.7,autumn
2024-10-15,18.7,23.6,99,10.7,autumn
2024-10-16,15.4,9.1,99,11.5,autumn
2024-10-17,12.4,18.1,99,10.8,autumn
2024-10-18,11.7,8.3,97,6.6,autumn
2024-10-19,10.9,0.0,98,10.1,autumn
2024-10-20,14.2,0.0,85,9.9,autumn
2024-10-21,14.9,0.0,88,9.2,autumn
2024-10-22,13.8,4.7,93,6.0,autumn
2024-10-23,14.6,0.6,96,5.2,autumn
2024-10-24,14.2,0.0,94,11.2,autumn
2024-10-25,13.3,2.6,98,9.8,autumn
2024-10-26,11.5,41.5,99,13.1,autumn
2024-10-27,11.2,1.4,98,12.5,autumn
2024-10-28,13.6,3.5,87,15.3,autumn
2024-10-29,14.8,0.0,92,13.5,autumn
2024-10-30,14.3,16.6,96,18.0,autumn
2024-10-31,15.4,4.7,98,15.0,autumn
2024-11-01,14.9,0.0,86,9.9,autumn
2024-11-02,13.2,1.7,85,11.2,autumn
2024-11-03,13.7,6.3,97,10.1,autumn
2024-11-04,13.4,6.6,99,12.4,autumn
2024-11-05,13.3,1.2,91,7.4,autumn
2024-11-06,13.2,4.0,96,8.2,autumn
2024-11-07,12.2,0.6,97,10.4,autumn
2024-11-08,12.2,0.1,92,9.8,autumn
2024-11-09,10.9,3.7,98,7.2,autumn
2024-11-10,10.9,6.4,99,7.0,autumn
2024-11-11,11.0,0.0,92,12.5,autumn
2024-11-12,8.1,0.0,86,16.3,autumn
2024-11-13,9.0,3.7,93,23.2,autumn
2024-11-14,10.4,0.3,97,9.4,autumn
2024-11-15,9.5,0.9,98,10.4,autumn
2024-11-16,9.4,0.0,90,9.7,autumn
2024-11-17,10.1,0.0,94,7.1,autumn
2024-11-18,8.9,0.0,97,9.4,autumn
2024-11-19,9.2,0.0,95,9.9,autumn
2024-11-20,9.6,0.4,94,12.7,autumn
2024-11-21,9.7,0.1,99,20.2,autumn
2024-11-22,8.3,0.0,84,11.2,autumn
2024-11-23,7.4,0.4,94,16.4,autumn
2024-11-24,8.4,5.0,99,10.0,autumn
2024-11-25,9.8,15.7,98,7.3,autumn
2024-11-26,9.8,0.1,100,8.3,autumn
2024-11-27,7.8,0.0,87,6.4,autumn
2024-11-28,9.7,0.0,83,5.5,autumn
2024-11-29,11.1,0.0,73,5.6,autumn
2024-11-30,8.7,0.0,85,5.7,autumn
2024-12-01,8.9,0.0,90,5.7,autumn
2024-12-02,11.2,0.3,90,8.8,autumn
2024-12-03,7.2,0.5,92,8.0,autumn
2024-12-04,6.3,1.3,93,7.8,autumn
2024-12-05,6.4,0.0,65,8.2,autumn
2024-12-06,11.1,0.1,100,6.4,autumn
2024-12-07,9.1,1.3,99,18.1,autumn
2024-12-08,5.0,0.1,87,10.6,autumn
2024-12-09,4.0,0.2,87,8.8,autumn
2024-12-10,3.3,0.1,97,8.9,autumn
2024-12-11,3.4,5.3,100,11.0,autumn
2024-12-12,4.9,1.3,93,18.1,autumn
2024-12-13,5.0,0.6,95,11.9,autumn
2024-12-14,3.5,0.0,95,8.5,autumn
2024-12-15,3.1,0.5,100,7.7,autumn
2024-12-16,5.6,0.0,68,6.2,autumn
2024-12-17,5.0,0.0,67,6.1,autumn
2024-12-18,7.8,0.0,76,5.5,autumn
2024-12-19,7.8,0.0,90,13.5,autumn
2024-12-20,4.6,0.0,76,8.5,autumn
2024-12-21,3.4,0.0,79,6.9,winter
2024-12-22,7.0,0.0,95,9.0,winter
2024-12-23,4.0,0.0,86,12.1,winter
2024-12-24,6.2,0.0,98,6.9,winter
2024-12-25,7.0,0.0,100,9.0,winter
2024-12-26,6.6,0.7,100,6.4,winter
2024-12-27,6.5,0.0,99,7.3,winter
2024-12-28,6.4,0.0,80,6.2,winter
2024-12-29,6.8,0.0,76,7.2,winter
2024-12-30,6.1,0.0,66,4.8,winter
2024-12-31,5.1,0.0,65,5.2,winter
2025-01-01,4.0,0.0,76,6.5,winter
2025-01-02,3.1,0.0,89,7.6,winter
2025-01-03,5.4,0.0,80,6.7,winter
2025-01-04,6.4,0.0,90,6.0,winter
2025-01-05,6.2,0.0,94,8.8,winter
2025-01-06,7.3,3.4,97,12.9,winter
2025-01-07,3.9,0.0,95,12.1,winter
2025-01-08,7.3,0.0,99,15.9,winter
2025-01-09,8.0,0.0,94,16.5,winter
2025-01-10,6.2,0.0,97,9.5,winter
2025-01-11,9.0,0.5,94,6.9,winter
2025-01-12,3.0,0.0,75,11.4,winter
2025-01-13,1.9,0.0,59,8.8,winter
2025-01-14,2.7,0.0,49,8.5,winter
2025-01-15,3.7,0.0,52,6.8,winter
2025-01-16,2.9,0.2,72,16.6,winter
2025-01-17,5.3,0.0,76,13.1,winter
2025-01-18,4.6,0.0,86,8.3,winter
2025-01-19,5.4,0.0,72,7.4,winter
2025-01-20,4.5,0.0,85,15.9,winter
2025-01-21,3.2,0.1,93,4.8,winter
2025-01-22,8.8,0.2,94,17.4,winter
2025-01-23,7.1,0.1,99,7.8,winter
2025-01-24,8.3,0.0,95,12.8,winter
2025-01-25,8.2,0.0,91,15.8,winter
2025-01-26,5.5,0.3,95,18.5,winter
2025-01-27,9.1,7.8,98,15.5,winter
2025-01-28,5.1,0.6,95,17.7,winter
2025-01-29,3.4,0.0,93,18.7,winter
2025-01-30,5.1,0.0,95,11.1,winter
2025-01-31,5.1,0.0,91,12.8,winter
2025-02-01,3.6,0.0,89,6.1,winter
2025-02-02,3.3,0.0,93,7.2,winter
2025-02-03,5.4,0.0,93,10.8,winter
